现在 /t 173	 k, 到/v, 现在/t, 还是/c, 
清晨 /t 2	 c, 到/v, 清晨/t, 才/d, 回
往昔 /t 2	 , [与/p, 往昔/t, 判若两人/i
夜里 /t 2	 r, 天/q, 夜里/t, ，/w], 
近期 /t 2	 w, 我/r, 近期/t, 内/f, 会
初三 /t 2	 , 大概/d, 初三/t, 晚上/t, 
中午 /t 2	 , 明天/t, 中午/t, 前/f, 回
以往 /t 2	  。/w], [以往/t, 他们/r, 
往常 /t 2	 m, 如/v, 往常/t, 的/uj, 
会上 /t 2	 p, 学/v, 会上/t, 发表/v, 
星期日 /t 2	 d, 在/p, 星期日/t, 不见/v, 
会后 /t 2	 , 你们/r, 会后/t, 悔/vg, 
黎明 /t 2	 n, 在/p, 黎明/t, 之前/f, 
九月 /t 1	 , 去年/t, 九月/t, 吧/y, 。
新春 /t 1	 , 采访/v, 新春/t, 大阪/nr,
前年 /t 1	  [自从/p, 前年/t, 的/uj, 
转眼间 /t 1	 , 空气/n, 转眼间/t, 变得/vi,
一大早 /t 1	 , 明天/t, 一大早/t, 去/v, 查
早期 /t 1	 n, 期/q, 早期/t, 时/ng, 
星期一 /t 1	 r, 休/v, 星期一/t, 吗/y, ？
夜深 /t 1	  。/w], [夜深/t, 了/ul, 
生前 /t 1	 g, 在/p, 生前/t, 应该/v, 
一月 /t 1	 , 是/v, 十一月/t, 的/uj, 
午夜 /t 1	 , 着/uz, 午夜/t, 十二/m, 
十二月 /t 1	  [已经/d, 十二月/t, 了/ul, 
上周 /t 1	 d, 是/v, 上周/t, 吧/y, ，
刹那间 /t 1	 , [我/r, 刹那间/t, 犹豫/a, 
月终 /t 1	 w, 美/j, 月终/t, 于/p, 发
上星期 /t 1	 v, 是/v, 上星期/t, 。/w], 
周日 /t 1	 , [是/v, 周日/t, 版/n, ，
今生 /t 1	 c, 她/r, 今生/t, 无缘/v, 
现今 /t 1	 n, 在/p, 现今/t, 社会/n, 
除夕 /t 1	  。/w], [除夕/t, 傍晚/t, 
清早 /t 1	 , 一大/j, 清早/t, 出发/v, 
秋天 /t 1	 , 那年/t, 秋天/t, 结婚/v, 
刹那 /t 1	 , 的/uj, 刹那/t, ，/w], 
三月 /t 1	  [今年/t, 三月/t, 之前/f, 
现 /t 1	  [一发/d, 现/tg, 里面/f,
初二 /t 1	 n, 和/c, 初二/t, 都/d, 在
当今 /t 1	  ，/w], [当今/t, 社会上/nz
