崇史 /nr 646	 /w], [敦贺崇史/nrj, 每周/r,
布赖恩 /nr 3	 j, 是/v, 布赖恩/nrf, ?/w],
张口 /nr 3	 , 什么/r, 张口/nr, 了/ul, 
时点上 /nr 3	 , 当前/t, 时点上/nr, 很难/d, 
多米诺 /nr 3	 v, 为/p, 多米诺/nrf, 效果/n,
酒井部长 /nr 3	 , 的/uj, 酒井部长/nrj, 吧/y, 
刚过 /nr 3	  ，/w], [刚过/nr, 六/m, 点
真是 /nr 3	 , [“/w, 真是/nr, 个/q, 好
麻由 /nr 3	 , [“/w, 麻由/nr, 子真/nz,
崇史提 /nr 3	 d, 跟/p, 崇史提/nr, 过/ug, 
关在 /nr 3	 , 自己/r, 关在/nr, 实验室/n,
成是 /nr 3	 , 解释/v, 成是/nr, 入侵者/gi
令人 /nr 3	 d, 是/v, 令人/nr, 意外/a, 
智彦用 /nr 3	 , [”/w, 智彦用/nr, 几乎/d, 
向崇史 /nr 3	 n, 靠/v, 向崇史/nr, 这边/r, 
崇史向 /nr 3	  。/w], [崇史向/nr, 他/r, 出
智彦那 /nr 3	 r, 和/c, 智彦那/nr, 副/b, 慌
崇史和 /nr 3	  ，/w], [崇史和/nr, 我/r, 的
包里 /nr 3	 f, 从/p, 包里/nr, 拿/v, 出
智彦给 /nr 3	 , [但/c, 智彦给/nr, 我/r, 看
真会 /nr 3	 , [你/r, 真会/nr, 说话/v, 
那次 /nr 3	 n, 来/v, 那次/nr, 啊/y, ，
智彦都 /nr 3	 r, 和/c, 智彦都/nr, 是/v, 这
那家 /nr 2	 , 的/uj, 那家/nr, ？/w], 
那件 /nr 2	 , 的/uj, 那件/nr, 西服/n, 
全是 /nr 2	 , 的/uj, 全是/nr, 她/r, 。
那就太 /nr 2	 , [“/w, 那就太/nr, 好/a, 了
崇史正 /nr 2	  。/w], [崇史正/nr, 考虑/v, 
时候一 /nr 2	 , 的/uj, 时候一/nrj, 直/d, 
张图 /nr 2	 , [这/r, 张图/nr, ，/w], 
那头 /nr 2	 , 电话/n, 那头/nr, 说/v, 道
