加藤 /nr 508	  ，/w], [加藤/nr, 亘/n, 抿
仓田女士 /nr 7	 , [“/w, 仓田女士/nrj, 。/w],
都想 /nr 7	 b, 人/n, 都想/nr, ，/w], 
都会 /nr 6	 n, 里/f, 都会/nr, 响起/v, 
闭上 /nr 6	 , [就/d, 闭上/nr, 了/ul, 
才说 /nr 6	 , 再三/d, 才说/nr, 出/v, 这
郝思嘉 /nr 6	 n, 叫/v, 郝思嘉/nr, ·/w, 奥
野濑真奈美 /nr 6	 v, “/w, 野濑真奈美/nrj, ”/w, 
张脸 /nr 6	 v, 这/r, 张脸/nr, 。/w], 
仓田太太 /nr 6	 , [“/w, 仓田太太/nrj, ，/w],
边说 /nr 6	 , 子/ng, 边说/nr, 边/d, 低
门上 /nr 6	 , 发现/v, 门上/nr, 夹/v, 着
青江心 /nr 5	  ，/w], [青江心/nrj, 中/f, 
才去 /nr 5	 , 所以/c, 才去/nr, 守夜/vn,
闻言 /nr 5	  [俊/a, 郎闻言/nr, 冷/a, 哼
那件 /nr 5	 v, 起/v, 那件/nr, 事/n, 。
青江一 /nr 5	 n, 让/v, 青江一/nrj, 时/ng,
钟后 /nr 5	 , 十分/d, 钟后/nr, 就/d, 能
那一 /nr 5	 , 的/uj, 那一/nrj, 类/q, 
赖江并 /nr 5	 [”/w], [赖江并/nr, 不/d, 像
本先生 /nr 4	 v, 阪/n, 本先生/nrj, 家/q, 
都和 /nr 4	  打印机/n, 都和/nr, 畑/w, 山
山神先生 /nr 4	 r, 是/v, 山神先生/nrj, 的/uj,
加藤先生 /nr 4	 r, 是/v, 加藤先生/nrj, ？/w],
与雅也 /nr 4	 , [是/v, 与雅也/nrj, 的/uj,
那对 /nr 4	 , 的/uj, 那对/nr, 夫妇/n, 
山本 /nr 4	 , 的/uj, 山本/nr, 澄子/nrj
曾说 /nr 4	 母亲/nrj, 曾说/nr, 过/ug, 
于新 /nr 4	 , 毕业/v, 于新/nr, 三/m, 条
