平介 /nr 1510	 [杉/ng, 田平介/nr, 的/uj, 
真是 /nr 5	 , [这/r, 真是/nr, 一/m, 种
桥本 /nr 5	  ，/w], [桥本/nr, 老师/n, 
平介正 /nr 5	  。/w], [平介正/nr, 一个/mq,
都要 /nr 5	  ，/w], [都要/nr, 面对/v, 
都想 /nr 5	 无论如何/l, 都想/nr, 向/p, 大
向直子 /nr 5	 , 男孩/n, 向直子/nrj, 他们/r,
都和 /nr 4	 , 声音/n, 都和/nr, 往常/t, 
平介跟 /nr 4	 , 之前/f, 平介跟/nr, 容子/nr,
那好 /nr 4	 w, “/w, 那好/nr, ，/w], 
平介本 /nr 4	  。/w], [平介本/nr, 想/v, 装
平介再 /nr 4	  。/w], [平介再/nr, 一/m, 次
半了 /nr 4	 m, 年/q, 半了/nrj, ，/w],
平介用 /nr 4	 , [”/w, 平介用/nr, 很/d, 快
那回 /nr 4	 a, 没/d, 那回/nr, 事/n, 。
井律师 /nr 4	 , [向/p, 井律师/nr, 不/d, 加
周里 /nr 4	 r, 一/m, 周里/nr, ，/w], 
冼 /nr 4	 , 一起/s, 冼/nr, 的/uj, 
田先生 /nr 4	  [“/w, 杉田先生/nrj, ……/w]
全是 /nr 4	  [读者/n, 全是/nr, 男性/n, 
平介才 /nr 4	 , 时/ng, 平介才/nr, 开始/v, 
平介一 /nr 4	 z, 先/d, 平介一/nr, 步出/v, 
麦茶 /nr 4	 n, 和/c, 麦茶/nr, 。/w], 
那家 /nr 4	 , 的/uj, 那家/nr, 宾馆/n, 
关在 /nr 4	 , 自己/r, 关在/nr, 房间/n, 
纪伊国 /nr 4	  新宿/nz, 纪伊国/nr, 屋/n, 书
杉田直子 /nr 4	 , 着/uz, 杉田直子/nrj, 和/c, 
才会 /nr 4	 , [我/r, 才会/nr, 碰/v, 一
平介叹 /nr 3	 , [”/w, 平介叹/nr, 了/ul, 
平介向 /nr 3	 , [”/w, 平介向/nr, 后/f, 仰
都说 /nr 3	 m, 人/n, 都说/nr, 藻奈/nr,
山本由子 /nr 3	 , 干事/n, 山本由子/nrj, 。/w],
拉门 /nr 3	 , 的/uj, 拉门/nrf, 拉开/v,
熊吉 /nr 3	 z, “/w, 熊吉/nr, ”/w, 。
夏目漱 /nr 3	  ，/w], [夏目漱/nr, 石/ng, 
