现在 /t 145	  ，/w], [现在/t, 却/d, 没
现阶段 /t 4	 , [但/c, 现阶段/t, 这/rzv,
九月 /t 4	 , 去年/t, 九月/t, 份/q, ，
三月 /t 4	 , 只是/d, 三月/t, 份/q, ，
昨晚 /t 4	 , [“/w, 昨晚/t, 试验/vn,
七月 /t 4	  [进入/v, 七月/t, 份/q, 后
上周 /t 4	  [大概/d, 上周/t, 中段/f, 
上午 /t 3	 这天/rzt, 上午/t, 的/ude1
年末 /t 3	 , 去年/t, 年末/t, 去世/vi,
六月 /t 3	  了/ule, 六月/t, 。/w], 
一刹那 /t 3	  。/w], [一刹那/t, 的/ude1
星期五 /t 3	 是/vshi, 星期五/t, ，/w], 
往后 /t 3	 , [又/d, 往后/t, 翻/v, 了
次日 /t 3	 的/ude1, 次日/t, ，/w], 
先前 /t 3	  [就是/v, 先前/t, 那个/rz,
一早 /t 3	 d, 想/v, 一早/t, 赶去/vf,
星期一 /t 3	 t, 到/v, 星期一/t, 早晨/t, 
星期六 /t 3	 是/vshi, 星期六/t, 的/ude1
星期天 /t 2	 , [“/w, 星期天/t, ，/w], 
下次 /t 2	  找找/nz, 下次/t, 学习会/n,
不久前 /t 2	  ，/w], [不久前/t, 有/vyou
顷刻间 /t 2	 r, 俩/m, 顷刻间/t, 成为/v, 
清晨 /t 2	 , [在/p, 清晨/t, ，/w], 
周一 /t 2	  。/w], [周一/t, ，/w], 
凌晨 /t 2	  了/ule, 凌晨/t, 三/m, 点
前不久 /t 2	 , 我/rr, 前不久/t, 听/v, 智
此前 /t 2	  ，/w], [此前/t, 已经/d, 
周六 /t 2	 c, 从/p, 周六/t, 开始/v, 
上回 /t 2	 大屏幕/nz, 上回/t, 放/v, 了
十月 /t 2	 是/vshi, 十月/t, 二/m, 日
正月 /t 2	 的/ude1, 正月/t, 也/d, 没
半夜 /t 2	 是/vshi, 半夜/t, 才对/nr,
中午 /t 2	  ？/w], [中午/t, 你/rr, 
盛夏 /t 1	 p, 个/q, 盛夏/t, 里/f, 我
春假 /t 1	  [我/rr, 春假/t, 回/v, 了
今 /t 1	 家伙/nz, 如今/t, 怎么样/ry
夜里 /t 1	 , 半/mq, 夜里/t, 也/d, 没
当天 /t 1	  ，/w], [当天/t, 伯母/n, 
十二月 /t 1	 的/ude1, 十二月/t, 都/d, 不
节后 /t 1	  兰盆/nz, 节后/t, ，/w], 
午夜 /t 1	 是/vshi, 午夜/t, 两/m, 点
星期四 /t 1	 c, 从/p, 星期四/t, 晚上/t, 
以往 /t 1	 , [“/w, 以往/t, 都是/nr,
本世纪 /t 1	 , 半/mq, 本世纪/t, 是/vshi
年中 /t 1	 , [两/m, 年中/t, ，/w], 
一瞬 /t 1	 麻由子/nr, 一瞬/t, 的/ude1
冬天 /t 1	 是/vshi, 冬天/t, 的/ude1
清 /t 1	 d, 太/d, 清/tg, 。/w],
圣诞节 /t 1	 , [“/w, 圣诞节/t, 你/rr, 
会前 /t 1	 , 发表/v, 会前/t, 忙成/v, 
午前 /t 1	 , [到/v, 午前/t, 总算/d, 
当初 /t 1	  自己/rr, 当初/t, 在/p, M
周末 /t 1	  ，/w], [周末/t, ，/w], 
饭后 /t 1	 v, 上/f, 饭后/t, 甜点/n, 
中旬 /t 1	 , 六月/t, 中旬/t, ，/w], 
未来 /t 1	 的/ude1, 未来/t, 将/d, 会
今生 /t 1	  ，/w], [今生/t, 今世/t, 
前年 /t 1	 是/vshi, 前年/t, 提出申请/v
圣诞 /t 1	 智彦在/nr, 圣诞/t, 之/uzhi
晌午 /t 1	  了/ule, 晌午/t, ，/w], 
黎明 /t 1	  了/ule, 黎明/t, 时分/n, 
转眼间 /t 1	 , 醉意/n, 转眼间/t, 烟消云散/v
早晨 /t 1	  星期一/t, 早晨/t, 必须/d, 
会后 /t 1	 , [在/p, 会后/t, 也/d, 恢
