冬 /t 1069	 s, 美/b, 冬/tg, 。/w],
白天 /t 3	  [因此/c, 白天/t, 这里/rzs
大前年 /t 3	 ……/w], [大前年/t, 的/ude1
现 /t 3	 , 一发/d, 现/tg, 从/p, 
现阶段 /t 3	  。/w], [现阶段/t, 你/rr, 
震后 /t 3	 地/ude2, 震后/t, 通常/d, 
顷刻间 /t 3	 v, 人/n, 顷刻间/t, 昏迷/v, 
饭后 /t 3	 z, 、/w, 饭后/t, 咖啡/nf,
清晨 /t 3	  了/ule, 清晨/t, 。/w], 
往后 /t 3	 , [能/v, 往后/t, 推一推/nz
此后 /t 3	 , 觉得/v, 此后/t, 我们/rr,
秋天 /t 3	 , 前年/t, 秋天/t, ，/w], 
明年 /t 3	  了/ule, 明年/t, 。/w], 
冬天 /t 3	 的/ude1, 冬天/t, 。/w], 
上午 /t 2	 , [“/w, 上午/t, 公司/nis
夜里 /t 2	  [她/rr, 夜里/t, 出去玩/n,
一大早 /t 2	  [今天/t, 一大早/t, 就/d, 贴
元旦 /t 2	  ，/w], [元旦/t, 那天/r, 
年初 /t 2	 , 那年/r, 年初/t, ，/w], 
一月 /t 2	 , 今年/t, 一月/t, ，/w], 
二月 /t 2	 d, 从/p, 二月/t, 末/f, 开
除夕 /t 2	 的/ude1, 除夕/t, ，/w], 
十一月 /t 2	 是/vshi, 十一月/t, 十五日/t,
当初 /t 2	  [如果/c, 当初/t, 就/d, 置
周四 /t 2	 v, 在/p, 周四/t, 的/ude1
十五日 /t 2	 r, 二/m, 十五日/t, 前后/f, 
星期四 /t 2	 , [但/c, 星期四/t, 的/ude1
凌晨 /t 2	  了/ule, 凌晨/t, 两/m, 点
前不久 /t 2	 d, 在/p, 前不久/t, ，/w], 
昏 /t 2	 t, 已/d, 昏/tg, 了/ule
上回 /t 2	  [和/cc, 上回/t, 相反/vi,
婚后 /t 1	  。/w], [婚后/t, ，/w], 
十月 /t 1	  ，/w], [十月/t, 份/q, 住
往日 /t 1	  了/ule, 往日/t, 的/ude1
十二月 /t 1	 , 去年/t, 十二月/t, 开张/vi,
今 /t 1	 汽油味/n, 如今/t, 却/d, 倍
翌日 /t 1	  。/w], [翌日/t, ，/w], 
早上 /t 1	 , [“/w, 早上/t, 出门/vi,
年内 /t 1	 n, 一/m, 年内/t, 不能/v, 
会前 /t 1	 p, 约/d, 会前/t, 消磨/v, 
半夜 /t 1	 d, 大/a, 半夜/t, 被叫/v, 
不久前 /t 1	  去世/vi, 不久前/t, ，/w], 
圣诞节 /t 1	 , 因为/c, 圣诞节/t, 快/a, 到
周末 /t 1	  ，/w], [周末/t, 家人/n, 
一刹那 /t 1	 的/ude1, 一刹那/t, ，/w], 
大清早 /t 1	  ，/w], [大清早/t, 就/d, 买
月底 /t 1	 t, 3/m, 月底/t, 。/w], 
课后 /t 1	 w, 下/f, 课后/t, 有/vyou
周一 /t 1	  ，/w], [周一/t, 之后/f, 
