班比 /nr 7	 是/vshi, 班比/nr, 夜总会/ni
门后 /nr 1	 v, 上/f, 门后/nr, 就/d, 会
和绘里一 /nr 1	 , 子/ng, 和绘里一/nrj, 同/p, 
高见俊 /nr 1	 , 和/cc, 高见俊/nr, 介/vg, 
金属用 /nr 1	 , 剪断/v, 金属用/nr, 的/ude1
任君 /nr 1	 , 就是/v, 任君/nr, 自/p, 选
连装 /nr 1	 , 我/rr, 连装/nr, 衣服/n, 
江崎洋子准 /nr 1	  ，/w], [江崎洋子准/nrj, 时/qt,
关键就 /nr 1	 的/ude1, 关键就/nr, 在/p, 这
高见爽朗 /nr 1	 ["/w], [高见爽朗/nrj, 地/ude
钟就能 /nr 1	 , 十分/d, 钟就能/nr, 谈完/v, 
田和 /nr 1	  [芝/ng, 田和/nr, 加藤/nz,
有刑警 /nr 1	  ，/w], [有刑警/nrj, 你/rr,
可香子 /nr 1	  ，/w], [可香子/nrj, 却/d, 
田一口 /nr 1	  [芝/ng, 田一口/nr, 喝干/v, 
来和你 /nr 1	 d, 会/v, 来和你/nr, 提/v, 的
江崎小姐 /nr 1	 w, "/w, 江崎小姐/nrj, ，/w],
单从 /nr 1	  。/w], [单从/nr, 外形上/nz
时起 /nr 1	  什么/ry, 时起/nr, 搅/v, 到
冲香 /nr 1	 地/ude2, 冲香/nr, 子/ng, 
天见了 /nr 1	 v, 改/v, 天见了/nrj, 。/w],
高见 /nr 1	 , 与/cc, 高见/nr, 的/ude1
那件 /nr 1	 的/ude1, 那件/nr, 案子/n, 
田问 /nr 1	 , 芝/ng, 田问/nr, 了/ule,
高见要 /nr 1	  那个/rz, 高见要/nr, 等/uden
山田先生 /nr 1	 , ["/w, 山田先生/nrj, 的/ude
风中 /nr 1	 n, 在/p, 风中/nr, 扬起/v, 
芝田心 /nr 1	  。/w], [芝田心/nrj, 想/v, 
大道理 /nr 1	 v, 讲/v, 大道理/nrj, 。/w],
干刑警 /nr 1	  。/w], [干刑警/nrj, 这行/r,
田便 /nr 1	  [芝/ng, 田便/nr, 走出/v, 
刚在 /nr 1	  加藤/nz, 刚在/nr, 二〇四/m,
曾听人 /nr 1	 , 我/rr, 曾听人/nr, 提到/v, 
回谢吧 /nr 1	 的/ude1, 回谢吧/nr, 。/w], 
西原正夫 /nr 1	  。/w], [西原正夫/nrj, 社长/nn
起绘里 /nr 1	 r, 问/v, 起绘里/nrj, 在/p, 
都是 /nr 1	  这/rzv, 都是/nr, 很久以前/n
田本 /nr 1	  [芝/ng, 田本/nr, 以为/v, 
方也 /nr 1	 v, 对/p, 方也/nr, 和/cc, 
那门链 /nr 1	  [所以/c, 那门链/nr, 应该/v, 
原正夫 /nr 1	 t, 西/f, 原正夫/nrj, 的/ude
