平介 /nr 1399	 [杉田/nz, 平介/nr, 的/ude1
汤金库 /nr 3	 , 去/vf, 汤金库/nr, 吧/y, 。
都要 /nr 3	 , 全班/n, 都要/nr, 参加/v, 
夏目漱石 /nr 3	  ，/w], [夏目漱石/nrf, 写/v, 
平介进 /nr 3	  ，/w], [平介进/nr, 了/ule,
平介叹 /nr 3	 , [”/w, 平介叹/nr, 了/ule,
山本由子 /nr 3	  女干事/n, 山本由子/nrj, 。/w],
拉门 /nr 3	 的/ude1, 拉门/nrf, 拉开/v,
时直子 /nr 3	 , 走廊/n, 时直子/nrj, 已经/d,
才行 /nr 3	 , 准备/v, 才行/nr, 。/w], 
熊吉 /nr 3	 e, “/w, 熊吉/nr, ”/w, 。
平介笑 /nr 3	 , [”/w, 平介笑/nr, 出声/v, 
南希 /nr 3	 , 名叫/v, 南希/nrf, 的/ude
山本 /nr 3	  。/w], [山本/nr, ，/w], 
川上 /nr 3	  。/w], [川上/nr, 和/cc, 
那本 /nr 3	 的/ude1, 那本/nr, 杂志/n, 
相马学 /nr 2	 , 知道/v, 相马学/nrj, 长/a, 
有道理 /nr 2	 1, 也/d, 有道理/nrj, ……/w]
平介按 /nr 2	  ，/w], [平介按/nr, 下/f, 了
钱花 /nr 2	  把/pba, 钱花/nr, 到/v, 别
那台 /nr 2	 d, 用/p, 那台/nr, 录音机/n,
戴在 /nr 2	 是/vshi, 戴在/nr, 左手/n, 
梶川逸美一 /nr 2	  ，/w], [梶川逸美一/nrj, 下/f, 
张一合 /nr 2	 v, 一/m, 张一合/nr, 。/w], 
平介直 /nr 2	 [有件事/l, 平介直/nr, 很/d, 后
平介就 /nr 2	  [因为/c, 平介就/nr, 有/vyou
根岸典子女士 /nr 2	  [请问/v, 根岸典子女士/nrj, 在家/vi
平介你 /nr 2	 , [“/w, 平介你/nr, 怎么/ryv
刚过 /nr 2	  ，/w], [刚过/nr, 上午/t, 
达夫 /nr 2	 [中尾/ns, 达夫/nrf, 从/p, 
顶粱 /nr 2	  了/ule, 顶粱/nr, 柱/ng, 
绿灯亮了 /nr 2	  ，/w], [绿灯亮了/nrj, ，/w],
比尔 /nr 2	  加斯/ns, 比尔/nrf, 的/ude
平介能 /nr 2	 , [”/w, 平介能/nr, 感觉到/v,
山岸 /nr 2	 , [”/w, 山岸/nr, 说道/v, 
杉田直子 /nr 2	 v, 以/p, 杉田直子/nrj, 的/ude
我妻子 /nr 2	 是/vshi, 我妻子/nrj, 还是/c,
平介端 /nr 2	 w, ”/w, 平介端/nr, 着/uzhe
都是我 /nr 2	  ，/w], [都是我/nr, 不好/a, 
才想上 /nr 2	 , 学习/v, 才想上/nr, 男女/n, 
高兴得 /nr 2	 r, 也/d, 高兴得/nr, 不得了/l,
平介要 /nr 2	  [正当/a, 平介要/nr, 走进/v, 
一家夜 /nr 2	 的/ude1, 一家夜/nrj, 总会/ni
