沙也加 /nr 207	 /w], [仓桥沙也加/nrj, ”/w],
山田君 /nr 1	 晴天/n], [山田君/nr, 把/pba,
回圣 /nr 1	 d, 夹/v, 回圣/nrj, 经/p, 
诸那 /nr 1	 1, 小/a, 诸那/nr, 一带/n, 
关是 /nr 1	 有/vyou, 关是/nr, 肯定/v, 
向里 /nr 1	 n, 上/f, 向里/nr, 窥望/v, 
能佑介 /nr 1	 c, 可/v, 能佑介/nrj, 也/d, 
钱而 /nr 1	  了/ule, 钱而/nr, 消失/vi,
安提克 /nr 1	  ”/w], [安提克/nr, 的/ude1
方式问 /nr 1	 v, 种/q, 方式问/nr, ，/w], 
才对呢 /nr 1	 老师/nnt, 才对呢/nr, ”/w], 
串成一 /nr 1	 , 没法/v, 串成一/nrj, 整件事/n
那只叫 /nr 1	  了/ule, 那只叫/nr, ‘/w, 妙
太田康子 /nr 1	 难过/a], [太田康子/nrj, ”/w],
内容了 /nr 1	 的/ude1, 内容了/nrj, ，/w],
那是你 /nr 1	 , [“/w, 那是你/nr, 铲/v, 的
那件 /nr 1	 是/vshi, 那件/nr, 日式/n, 
何会 /nr 1	 f, 为/p, 何会/nr, 弥漫着/l,
阴有 /nr 1	  日/b], [阴有/nr, 时有/d, 
顿涌 /nr 1	  [心头/s, 顿涌/nr, 一/m, 丝
能沙也加 /nr 1	 w, 可/v, 能沙也加/nrj, 喜欢/vi
琼斯 /nr 1	  ./w], [琼斯/nrf, 一样/uy
那一年 /nr 1	  了/ule, 那一年/nr, 的/ude1
鸭形 /nr 1	 , 出现/v, 鸭形/nr, 的/ude1
真聪明 /nr 1	 , [“/w, 真聪明/nr, ”/w], 
来是有 /nr 1	 z, 说/v, 来是有/nr, 这么回事/n
定厨房 /nr 1	 v, 不/d, 定厨房/nrj, 有/vyo
