崇史 /nr 630	 /w], [敦贺崇史/nrj, 每周/r,
那也 /nr 4	 , [“/w, 那也/nr, 是/vshi
玉号 /nr 4	 w, 小/a, 玉号/nr, ”/w, 新
阿佐谷 /nr 4	 , [“/w, 阿佐谷/nr, 啊/y, ”
崇史又 /nr 3	  。/w], [崇史又/nr, 在/p, 乌
起智彦 /nr 3	 r, 想/v, 起智彦/nrj, 曾经/d,
智彦来 /nr 3	 , 和/cc, 智彦来/nr, 过/uguo
多米诺 /nr 3	  取名为/i, 多米诺/nrf, 效果/n,
里崇史 /nr 3	  这/rzv, 里崇史/nrj, 语塞/v,
有智彦 /nr 3	  自己/rr, 有智彦/nrj, 房间/n,
都是 /nr 3	 , [“/w, 都是/nr, 对/p, 我
向崇史 /nr 3	 n, 靠/v, 向崇史/nr, 这边/rzs
才行 /nr 3	 , 证据/n, 才行/nr, 。/w], 
来过 /nr 3	 , 小偷/n, 来过/nr, ，/w], 
布赖恩 /nr 3	 是/vshi, 布赖恩/nrf, ?/w],
那是 /nr 2	 [只不过/d, 那是/nr, 初级阶段/n
真孝顺 /nr 2	 r, 还/d, 真孝顺/nrj, 啊/y, 
那张 /nr 2	 e, 指/v, 那张/nr, 留言/n, 
久等了 /nr 2	 , 你/rr, 久等了/nrj, ”/w],
当心一 /nr 2	 , [“/w, 当心一/nrj, 点/qt,
张图表 /nr 2	 q, 四/m, 张图表/nr, ”/w], 
崇史先 /nr 2	  ，/w], [崇史先/nr, 一/m, 步
崇史却 /nr 2	  。/w], [崇史却/nr, 在/p, 离
智彦叫 /nr 2	 是/vshi, 智彦叫/nr, 她/rr, 
裘伊 /nr 2	 , 叫/vi, 裘伊/nr, ，/w], 
近崇史 /nr 2	 n, 靠/v, 近崇史/nrj, ，/w],
智彦也 /nr 2	 , [”/w, 智彦也/nr, 拿起/v, 
崇史正 /nr 2	  。/w], [崇史正/nr, 考虑/v, 
三轮先生 /nr 2	  ，/w], [三轮先生/nrj, 被/pbe
崇史提 /nr 2	 b, 向/p, 崇史提/nr, 了/ule,
智彦呢 /nr 2	 , 选择/v, 智彦呢/nr, ？/w], 
刚想 /nr 2	  [我/rr, 刚想/nr, 张口/vi,
崇史鞠 /nr 2	 e, ”/w, 崇史鞠/nr, 了/ule,
须藤先生 /nr 2	 v, “/w, 须藤先生/nrj, ”/w, 
酒井部长 /nr 2	 的/ude1, 酒井部长/nrj, 吧/y, 
于崇史 /nr 2	 , 倾向/n, 于崇史/nr, 。/w], 
舒爽 /nr 2	 , 非常/d, 舒爽/nr, 呢/y, ”
向麻由子 /nr 2	 c, 转/v, 向麻由子/nrj, ，/w],
崇史左 /nr 2	  ，/w], [崇史左/nr, 前方/s, 
福美 /nr 2	 i, ‘/w, 福美/nrf, 寿司/nf
那件 /nr 2	 的/ude1, 那件/nr, 西服/n, 
崇史往 /nr 2	  ”/w], [崇史往/nr, 薄饼/nf,
乘上了 /nr 2	 是/vshi, 乘上了/nrj, 电梯/n,
近麻由子 /nr 2	 r, 接/v, 近麻由子/nrj, 罢了/y,
言毕 /nr 2	  ，/w], [言毕/nr, 又/d, 后
那枚 /nr 2	 的/ude1, 那枚/nr, 胸针/nz,
智彦而 /nr 2	 v, 选/v, 智彦而/nr, 选择/v, 
那是在 /nr 2	 n, ：/w, 那是在/nr, 联欢会/n,
关系了 /nr 2	 的/ude1, 关系了/nrj, 。/w],
崇史便 /nr 2	  ，/w], [崇史便/nr, 起身/vi,
多月了 /nr 2	 m, 个/q, 多月了/nrj, ，/w],
练过 /nr 2	 , 时候/n, 练过/nr, 剑道/nz,
真锅 /nr 2	  走到/vf, 真锅/nr, 边上/f, 
智彦一 /nr 1	  [“/w, 光智彦一/nrj, 个人/n,
都是崇 /nr 1	 的/ude1, 都是崇/nr, 史/ng, 
包也 /nr 1	 的/ude1, 包也/nr, 差点/d, 
才能早 /nr 1	 , 今天/t, 才能早/nr, 回来/v, 
卡拉 /nr 1	  欢唱/vi, 卡拉/nrf, OK/nx
智彦站 /nr 1	 e, ”/w, 智彦站/nr, 着/uzhe
山下笑 /nr 1	 y, ”/w, 山下笑/nrj, 着/uzh
向你 /nr 1	 , 该/rz, 向你/nr, 道歉/vi,
张开嘴 /nr 1	 , 慢慢/d, 张开嘴/nr, 说/v, ：
国屋 /nr 1	  纪伊/nz, 国屋/nr, 书店/nis
大衣里伸 /nr 1	 r, 从/p, 大衣里伸/nrj, 出/vf,
寺下了 /nr 1	 a, 円/w, 寺下了/nrj, 车/n, 
盖得 /nr 1	 , 盖子/n, 盖得/nr, 严严实实/z
条理 /nr 1	 有/vyou, 条理/nrj, 。/w],
